label;text
Positive;Gerçekten çok çok iyi bir roman Hikayesi sürükleyici ve verdiği bilgiler sizi sürekli Google layarak daha fazlasını öğrenmeye teşvik ediyor Elbette ki olayların bağlanışında bir iki acemilik seziyorsunuz ancak bunu da yazarın ilk romanı oluşuna verip hoşgörmek gerekir Dan Brown un tarzına benziyor ve bence bazı Dan Brown kitaplarından çok daha iyi sürüklüyor
Negative;Ürünün cay haznesi kesinlikle göründüğü gibi yukarıda sabit durmuyor, hal böyle olunca cubuktan kapak zor kapanıyor. Begenmedım kesinlikle tavsiye etmem.
Positive;ürün cok güzel ve kaliteli fiyatı uygun alıs verisin adı hepsiburada.com????
Negative;Bir önceki yorumu güncelleme olmadığı için ek yorum Kalite ürün simgesi Anker bluetooth kulaklık işini ya bırakmalı ya da kalitesini artırmalı Ürün 2 ayında bluetooth bağlantısını yitirdi reset işe yaramadı Genelinde ister Bose ister Jaybird olsun en pahalısı da en ucuzu da bluetooth kulaklıklar sorun çıkarıyor
Positive;Note 4 ümün arızalanması sonucu sipariş ettim 1 gün sonra elime dün geçti Hasarsız hiç açılmamış olduğunu düşündüğüm bir pakette idi Priz adaptörü ambalajın dışında mevcuttu Paket içeriği de tamdı Knox sayacı orjinal 0x0 idi Gerçekten çok şık büyük ve ince Ön ve arka jelatinlerini ekran koruyucu gelene kadar çıkarmadım Bugün oda geldi ve taktım ama ekran kavisli olduğundan sağ ve sol kenarlardan 2 şer mm hem küçük geldi ek olarak da ekran filminin sağ ve solda 2 şer mm si ekrana oturmadı Kavisli ekranı tam kapladığını vaadeden ürünlerden almak gerek sanırım Türkçe yazılımı mevcut ve açılıştan sonra android 6 01 a güncellendi Çift simkart olayını denemedim Maşallah sorunsuz kullanıyorum Satıcıya teşekkür ederim
Negative;kağıt çıkmadığı için olumlu yorum yapmıyorum kafamda soru işaretleri oluştu.
Neutral;Kendi el yazısıyla yazdığı Sefil Molla adını verdiği bir kitabı vardır .
Positive;bisiklet turlarında sıkça kullandığımız bu cihaz olmazsa olmazımız. tam donanımla bisiklet üstündeyken bunu köpeklerde kullandığımızda harika sonuçlar alıyoruz(görüntü faktörü de önemli). kangallarda ve büyük çoban köpeklerinde çok etkili. bazı küçük köpekler daha az kaçma eğilimi gösteriyorlar. denemeden önce kimse işe yarayacağını düşünemeyecektir, bu doğal. biz de köpekleriyle ünlü bir bölgeye araba ile giderek denedik ve araba camını açmadan bile etkili olabildiğini gördük. aynı anda iki cihaz birden çalışırsa komik görüntüler bile ortaya çıkabiliyor. kimse hayvanlara eziyet için kullandığımızı sanmasın, hepimiz hayvan sever insanlarız ama hem bizim hem de köpeklerin güvenliği için gerekli. onları yolun kenarında tutmak, onları araçların altına girmekten kurtarıyor.
Negative;Bu filmmiydi yoksa ona benzer bişey mi? Jason'a hiç gitmemiş.. Vakit kaybı.. Hele sondaki düşüş sahnesi çok basit.. Sokaktaki sevişme sahnesi de yersiz ve saçma olmuş.. Fazla söze gerek yok..
Negative;Çok az olan saç dökülmem bu şampuanı kullandıktan sonra inanılmaz arttı Elime saçıma her atışımda saç teli geliyordu durduk yere strese soktum kendimi Bana iyi gelmedi
Positive;Dün sipariş verdim bugün cumartesi ve öğlen elime geçti.Teşekkür ederim hassasiyet için.
Negative;bende buhar makinasını aldım ilk deneyimim ama o kadar ses cikariyoki anlatamam ama diğer kullanıcılarda hiç ses cikartmiyor yazmis
Positive;Talha uğurluelin yazdığı kitap nasıl kötü olabilirki
Positive;hızlı ve güvenilir herşey için teşekkür ederim
Neutral;Fragmanını izledikten sonra mutlaka izlemem gerek diye düşündüğüm bir filmdi ama izledikten sonra biraz hayal kırıklığına uğradı fikir ve hikaye olarak güzeldi ancak senaryo ve yönetim iyi değ Stiller bu alanlarda daha fazla yardım alsaydı daha iyi bir film ortaya çı en sevdiğim şey muazzam güzellikteki manzara görüntüleri oldu Benzer ve daha iyi bir film izlemek isterseniz The Bucket List önerimdir
Positive;ürün iyi kaliteli zamanında kargoya verilmemesi dışında sorunsuz
Neutral;Bu haliyle ilçe merkezi ve köyleri uzun bir süre kendi kaderine terk edilmiştir .
Positive;ALMANIZI TAVSİYE EDERİM İŞ GÖRÜYOR
Negative;yorumlara kanıp aldık ama iiyi temizlemiyor. deterjan oranını arttırdık ancak sonuç aynı.
Negative;Memnun kalacağımı düşünerek aldım ama hiç memnun kalmadım Topaklanması fena değil ama kokuyu hiç engellemiyor ve inanılmaz tozutuyor Benim için en önemli sorun tozutuyor olması bir daha almayı düşünmüyorum
Neutral;Mary annesinin yardımıyla kendi iş yerini açar .
Positive;Primanın hem bezini hemde ıslak havlusunuben Kızıma kullandım görümcem de kızınakullandı çok memnunuz çok iyi kaliteli ürünler teşekkür ederim primaya
Negative;"Bu kitabı ilk okuyanlardanım. Yazarın okuduğum ilk kitabıydı. Son kitabı oldu. Okumak hayatımda ilk defa ızdıraba dönüştü. Üzerinden 1000 yıl geçse de olaylar tarihin tozlu sayfalarında toza dönüşse de önyargıların nasıl her dönemde yeşertilebildiğini çok iyi anladım. Suçu sadece insan sevgisi ve hoşgörü üzerine kurulu bir inanç, bir felsefe olmak olan &quot;Alevilik&quot; hakkında okuyucuya alttan alta katı önyargılar enjekte etmek bu çağda hangi edebiyat ekolünün,hangi insani duygunun savunabileceği bir yaklaşım olabilir."
Positive;Son yıllarda popüler olan animasyon türünde, ailecek izlenebilecek, çocuklarla beraber büyüklerin de ilgisini çekecek, farklı ama bir o kadar da güzel bir yapım. Küçük bir kızın başından geçen olayların ve ailesiyle olan ilişkisinin, zihninde nasıl duyguları tetiklediği esprili ve yer yer duygusal bir şekilde anlatılmış.NOT: Film tanıtımında ses dili Türkçe olarak belirtilmiş. Filmleri orijinal dilinde izlemeyi tercih eden birisi olarak, alırken tereddüt ettim fakat kargo elime ulaştığımda hem İngilizce hem de Türkçe dublaj olduğunu (ve tabi Türkçe altyazı da) görmek rahatlattı. Hepsiburada'dan, ürün tanıtımındaki ses dilinin Türkçe ve İngilizce olarak düzeltilmesi rica olunur.
Neutral;Her gün yeni bir tarikatın doğduğu sapkın olarak görülen birinin ya da birilerinin yakıldığı aforoz edildiği İsa ya Tanrı ya Hristiyanlığa dair sık sık yeni fikirlerin ortaya atıldığı imparatorlar ile papalar arasında güç savaşlarının yaşandığı karanlık Orta Çağ Avrupa sındayız
Negative;Ürünün kullanımından memnundum, sessiz ve yerleri ıslatmadan çalışıyordu. Ancak daha üç ay oldu ve hiçbir şekilde düşme-darbe vs durumu olmamasına rağmen cihaz bozuldu. Çalışmıyor. Fişe taktığımda yeşil ışığı yanardı şimdi hiçbir şekilde çalışmıyor. Dokunmatiği bozuldu veya başka bir sorunu var bilmiyorum. Şimdi nasıl bir yol izlemem gerekiyor sayın satıcı?
Negative;ürünü yorumları okuyup almaya karar verdim siparişi verdim hızlı bır şekilde ertesi gun elime ulaştı montaj yapmadan önce dişarda deneme amaçlı çaliştırdım arka plandaki ekran işiklarının hızlı bır şekilde yanıp sonduğunu gordum rahatsız edıcı bır durum o yüzden iade edicem
Positive;Öncelikle film tamamiyle bir Bertolucci yapımı olmuş Dikkatinizi çekmek istediğim konu ise filmin başında ve sonunda nasihatlar veren o yaşlı adam filmin aynı adlı romanının yazarı Paul Bowles Bu tarz bir epik film bulmak oldukça zor İzlemenizi öneriyorum
Positive;Rahat ederler. Keyif alabilirler. Bir dahaki tatilim de bu tesisi tercih edeceğim. Yemeklerinden memnun kaldım. Beklentimi karşıladı.
Positive;Alın derim aklınızda varsa ben 1.5 yıldır kullanıyorum ve cok memnunum ses inanilmaz güzel parasinin karsiligini kesinlikle veriyor
Positive;Öncelikle kokusu çok güzel rahatsız etmiyor. yumuşatıcı kullanmanıza gerek kalmadan çamaşırları makineden çıkardığınızda o kokuyu hissedebiliyorsunuz. Ben kırmızı turuncu kıyafetlerimde kullandım ve renk solması yıpranması gibi hiçbir problemle karşılaşmadım.
Negative;Cepa avmde haftasonları olan müzik eğlencesinde niye duygusal ağlamaklı şarkılar çalınıyor eğlence merkezi orası daha hareketli heyecanlı şarkılar çalması gerekirken çalan müziğe bak bi de oyun alanın yanında yani daha hareketli müzikler çalınmalı.
Negative;Küçük ve fotodaki gibi değil.
Neutral;Bu belirtileri genel olarak tipik ve atipik bulgular olarak sınıflandırmak mümkündür .
Negative;resimde görüldüğü gibi değil incecik birşey
Positive;Şöyle söyleyeyim göründüğünden daha kaliteli ve güzel emin olun Henüz oğlum giyip kullanmadı fakat elinize aldığınızda kalite hissi uyandırıyor Gönül rahatlığıyla alabilirsiniz bu arada çift teker yapabilmek için vida ve somun göndermişler fakat bir de alyan anahtarı koysalarmış iyiymiş
Neutral;Bir kitaptan sinemaya aktarılan ve stop motion olarak hazırlanan film Alis Harikalar Diyarında hikayesinin farklı bir versiyonuna benziyor Fakat gerilimli bir versiyon Hafif dozda korku unsurları içerse de ortada bir film Küçük bir kızın aldığı hayat dersini anlatıyor diyerek fazla ip ucu vermemiş olayım Puanım 6 10
Negative;kitapta doğru bilgiler verildiğine inanmıyorum Benim için vakit kaybı oldu malesef
Neutral;Türkçe Pop ve fantezi müzik tarzında yayın yapmaktadır .
Neutral;Antalya Altın Portakal Ödülleri için Erkek Oyuncu dalında aday olarak gösterildi .
Neutral;Pocket entegrasyonu sayesinde Firefox’ta okuma listesine eklenen sayfalar başka cihazlarda çevrimdışı olarak okunabilir .
Positive;Bankalar, borsa ve matematiksel hesaplar kısmı sıkıcı olsa da kurgusu ve senaryosu oldukça başarılı.Oyuncular da çok iyi, özellikle Anthony LaPaglia.
Positive;Ücretinegöre iyi bir ürün montajı kolay boyutu uygun Tek kusuru komodinin üst tablasından vidalama yapılması Üst tablada vida başlarını pul ile kapatsanız bile belli oluyor İçten vidalama yönteminin olması daha şık olurdu
Positive;Üründen öyle aman aman bir kalite beklememek gerekir . ama fiyatına göre bence güzel ve kullanışlı bir ürün. hepsi burada.com a tesekkürler kargo zamanından dolayı
Negative;Radio Performansı Çok Kötü Sesi Çok Az Ses bombası Olarak ta almayın Hıç Güzel degil Kargo suresıde çok uzun
Positive;Ürünü sorunsuz bir şekilde teslim aldım ve kullandım.Faat 2 hafta sonra bugun uzucu bir şekilde ölü bir piksel ekranın tam ortasında oluştu.Bu normal birşey biraz şans işi ürünü hepsi burada ile servise gondermek için 2 gündür onay bekliyorum.Onun dısında bir soruyık bu paraya gayet güzel parasasının hakkını veren bir ürün...
Positive;Ürünü kullanınca farkı hissediyorsunuz, çok enerjik hissettiriyor👍🏻
Neutral;İsyan müslümandır ve bir Yahudi ile evlenir .
Negative;paranıza yazık almayın kimyasallar daha garantili bir çözüm.
Negative;urun orjinal olmadigi icin ise yaramadi hatta onunla oyalandigim icin agrim inanilmaz artti. iade ettim. solgarin orjinal web sitesinden sasmayin. baska yerden ilk ve son alisimdi bu.
Positive;Türk Siyasi Tarihi hakkında yazılmış gayet güzel bir kitap
Positive;Bu roman en beğendiğim 5 Grisham romanı oldu Jüri Şirket Pelikan Dosyası ve Çınarlı Yol dan sonra
Neutral;Uzun bir kuyruğu ve büyük bir gagası vardır .
Negative;matrix le hiç alakafası yoq bence 90 öncesinin bilim kurgu klasiği elemanın performansı çok kötü yardımcı oyuncu daha iyi 1 2 sahnede imkansız bir kaç haraket var ve fragmandada onu kullanmışlar bence vakit kaybetmeye degmez
Positive;Borges i uzun zamandır merak ediyordum sonunda aldım ve aldığım gün Atlas ı okudum Borgesin kör olduktan sonra dünyanın farklı ülkelerine yaptığı seyahatler farklı bir şekilde anlatılıyor İstanbul seyahati de var içinde Ben bütün kitaplarda beni alıp biryerlere götüren hikayeleri kahramanları yazıları çok severim bu kitapta da en çok Balonla Yolculuk yazısı etkiledi beni Ben sevdim umarım sizde seversiniz
Positive;Fiyatına göre gayet başarılı bir ürün Görüntü net değil bulank gösteriyor diyen arkadaşlar lütfen okusun İlk açıp görüntüyü gördüğümde aşırı bulanık bir haldeydi bunun çözümü ise üzerinde bulunan 4 adet vidayı söktüğünüzde kameranın lens ayarını yaparak en net hale getirmeniz gerekmektedir Bu işlem sonrasında kameranız sorunsuz ve cam gibi net bir görüntü ile kayıt yapabilmekte
Positive;artıları çok pratik olması kullanımı kolay olması zamanla ustalaşırsınız eksileri fazla ses çıkarması olabilir kulaklık kullanrak bu sorunu ortadan giderebilirsiniz
Negative;sipariş geldi ama belirtildiği gibi şeffaf değil. birdesiparişlerimi aynı gün yapmam rağmen parça parça geldi.
Neutral;Korkulacak birşey yok gerilecek birşey yok abartıldığı kadar birşey de yok Ama sonuna diyecek lafımda yok güzeldi ama abartıldığı kadar değil bugün 2 ye izledim ve daha önce yorum yapmamış olduğumu farkettim benim notum 10 7 5
Negative;Türk sineması yıllar geçtikçe daha da geriliyor yazık
Negative;Ürün çok kalitesiz hepsiburadaya hiç yakışmadı...
Negative;Teslimat soylenenden once geliyor fakat Resimdeki canlı duran hali renkleri yok malesef daha solgun renkleri mevcut ayrica verilen paraya değmez çok ince hali
Positive;korkarak aldığım bir üründü kalitesi fln harika tavsiye ederim
Positive;ürünü aldım çantasından uç çıkmadı dışarıdan aldım öyle kullandım duvar kırdım biraz titreşimi fazla ama kuvvetli makine tavsiye ederim bu paraya bundan iyisi yoktur.
Negative;Bebek altı temizliği için çok uygun değil, fazla ıslak, dolayısıyla temizledikten sonra kurulamak gerekiyor. Unibaby Yenidoğandan çok memnundum, bebeğim 7 aylık, natural olan bize iyi gelmedi, bu ürün daha büyük çocukların temizliği için kullanılmalı.Siparişim ertesi gün geldi ancak yanısıra aldığım bebek ürünlerine de ayrı ayrı kargo parası ödemişim, çoklu alışveriş yapmıştım, farkedemedim. Alırken dikkatli olun
Neutral;Mac ve Linux bilgisayarlarda çalışmak üzere tasarlanmış bir Java sürümü de mevcuttur .
Positive;Çokdetaylı araştırılmış teşekkürederim
Positive;saz ve gıtarla ugrasan biri olarak uda merak saldımelimdeki uda taktım,3-4 günde teller tam oturdu bence amatörler için kullanışlı,tavsiye ederim
Positive;güzel kulaklık ses kalitesi fiyatının üstünde. mikrofon kalitesi dahada iyi. sadece ses seviyesini ayarlama yeri daha iyi olabilirditavsiye ediyorum.
Negative;Kampayada olmasına rağmen 2 haftada elime geçti Bu tarz ürünlerde böyle sıkıntılara katlanılamıyor
Positive;kızım severek kullanıyor
Negative;Kapak tam oturmadigi için geç atıyor
Positive;Bende uzun araştırmalar sonucu aldım gayet başarılı bir ürün. Düşünmeden alın.
Negative;Film ne yazık ki tam bir hayal kırıklığı Ne senaryo ne de aksiyon hiç bir şey yok Tavsiye etmiyorum
Positive;Pahalı iyi bilenen yağlar ile aynı üst seviye spesifikasyonlara ve standartlara sahip bir yağ.ikinci kez aldım ve memnunum. diğer kaliteli bilinen yağlardan aşağı kalan bir tarafı yok bence. 2006 model Mazda 3 1.6 benzinli aracımda kullanıyorum.
Neutral;Ramses ise Hitit topraklarına doğru ilerliyordu .
Negative;ürünü kendi geldigi sarjı bitene kadar kullana bildim şarj aletine bagladıgımda şarj olmadıgını fark ettim ve hepsi buradaya degişim istemiyle gönderdim bakalım nolucak büyük bir hevedle aldıgım ürün beni hayal kırıklıgına ugrattı
Neutral;Çelik destekli oluşundan dolayı aldım Onların sayesinde eğilip kalkmayı daha dikkatli yapıyorsunuz İsterseniz de çelik destekleri çıkarabiliyorsunuz
Positive;ürün dandik kurulumu zor. göründügü gibi degil
Neutral;koşu bantının neresini yağlayacağız sadece dönen merdaneyimi ön ve arka tarafınıdamı yağ sıkılacak minderin ısınması ve çok ses çıkarmasıda bundan mı oluyor acaba teşekkürler
Positive;Kedi sevdalısı oğlum için aldım Daha önce aynı yazarin üç kedi bir dilek kitabını almıştim ve onu da çok severek okumustuk
Positive;Ürün tam istediğimiz boyutta çıkdı ve çok hızlı gönderildi. Teşekkürler.
Negative;alalı bir hafta oldu çöpe iade ettik hiç kimseye tavsiye etmem paranızı çöpe atarsınız
Positive;harika Bir ürün eczaceden  daha pahalıya aldım bitince burdan aldım iştah açıyor kilo aldırıyor gözle görülür bir fark oldu bir şişe de tavsiye ederim teşekkür ederim
Negative;berbatotel  yıldızlı değil  yıldız bile etmez  yıldız diye satılıyor bunu şikayet edeceğim bayanlar havuzu çok küçük motor hergün arızalı su devir daim yapmıyor içi görülüyor yemekler çeşit   tane çok az içecekler gold marka sütler adını hiç duymadım  hafta bot yunca odada hiç temizlik yapılmadı hiç çarşaf değişmedi otel değil tam bir pansiyon tam bir rezillik
Positive;kendim dahil olmak üzere arkadaşlarıma 7 çift aldım. bu fiyata en kalitelisi bunlar bence. kısa süredede teslim edildi. 3 kg, 5 kg ve 6 kg lıkları kullanışlı. tavsiye ederim.
Negative;David Lynchin filmi işte. Herkes seyredemez. Ben de eski ben olsaydım çok hoşuma giderdi, ama son zamanlarda Hollywood beni de esir etmiş olsa gerek, fazla da hoşlanmadım.Yaratıklar ve insanların tanımlaması Lynchin hayalgücünü gösteriyor.
Negative;sarja taktim tam 14 saat durdu hala tek dis yaniyor cikarip takiyorum 2 dise geciyor bi 5 saat duruyor tekrar cikarip takiyorum 3 dise geciyor ilk sarjda bunu yaptiginda herhalde ilk defa diye yapti duzelir dedjm ama yok urun sarj almiyor iade edecegim samsung bayii kabul etmiyor nerden aldik bunu ya
Positive;iki parça olması güzel renginde kahveyi güzel yapıyor umarım uzun ömürlü olur tavsiye ederim
Negative;Kesinlikle tercih etmeyin kokusu hiç yok denecek kadar az ve kullanım amacına bile uymuyor. Denediğim için pişmanım.
Negative;El yayı çıkmadı paketten
Positive;Ürün cumartesi geç saatte gelmiş evde değildim. Pazartesi tekrar getirdiler. Arayıp korgom nerede diye sorgulamak zorunda kalmadım. Teşekkürler hepsiexpres
Positive;Bebek yataklarına çok baktım ve bu gerçekten o kadar güzel ki.Gayet kullanışlı, sağlam, sık, güvenilir. Araştırmayı seven biri ve ınternetten alışveriş yapan biri olarak söylüyorum ki, hiç tereddüt etmeyin alın. Başka yerde bu fiyata bulunmaz. Kargo da gerçekten çok hızlı. Bir günde geldi teşekkürler :)
Positive;Kaliteli ve ısısı çok iyi. Profesyonel bir makine. Memnun kaldım. Güzel
Negative;Sökme aparatları işe yaramıyor birkaç yorumda da belirtildiği gibi Madem ürünü satıyorsunuz başta deneyip de müşterilere yollayın Hiç memnun kalmadım alışverişten Kesinlikle almayın
Neutral;Eski kaynaklarda Hun Geçidi olarak geçer .
Negative;20 gün sonra nihayet geldi ürünüm bu satıcıdan bidaha birşey alır mıyım bilmiyorum üstelik PTT kargoyla gönderilmiş 20 gün boyunca aynı yerde duruyordu kargo çok şükür sonunda gelebildi çok kötü satıcı ve kargo şirketi
Negative;100 150 ÇEKİM SONRASI KARTUŞ BİTİYOR TEK BASIM DİYORSUN ÇİFT YAZIYOR SORUNLU BİR MAKİNE ÇOK PİŞMANIM
Positive;Oldukça kullanışlıve hafif
Positive;Mouse yaklaşık 3 gündür kullanıyorum Kullandığım bu süre zarfında gayet memnunum Mouse kullandığım her yüzeyde sorunsuz ve kaymasız çalışıyor Tuş takımı iyi 3 kademeli Dpi yeterli Oyunda da kullanıyorum ve iyi iş görüyor Mouse pad de kaliteli yapılmış
Negative;Oğlumla çok büyük hevesle aldık Ancak içindeki ana hareket motorları bozuk çıktı Komutu alıyor ama aksak çalışıyor İçindeki dişlilerde problem var gibi geldi Geri gönderdim Umarım mağduriyetim en kısa zamanda mağduriyetim giderilir
Neutral;Ara sıra kumun üzerinde de yürüyerek hareket ederler .
Positive;Tadı güzel ama mentol sevmeyenler belki tadını pek beğenmeyebilir Benim hoşuma gitti Dilin üzerine koyunca mentollü olmasından dolayı ilk birkaç dakika dilinizi yakıyor Ama gayet güzel bir ferahlık veriyor En büyük dezavantajı etkisi en fazla 25 30dk gidiyor Bilginiz olsun Öyle 2 3 saat gitmiyor yani
Neutral;Burada çok büyük miktarda altın ve gümüş madeni olduğu tahmin edilmektedir .
Positive;Ben bu filmi 10 a yakın kez izlemişimdir ve her izlediğimde ayrı keyif alıyorum.Bu filmi beğenmeyen arkadaslar ya filmi anlamamışlardır yada film kültürleri sıfır demektir.10/10 kendi dalında süper bir film kusursur desem yanlıs olmaz...
Positive;Sırt agrılarım azaldı
Positive;KİTABA BAŞLIYORSUN VE BİTİRİYORSUN
Positive;bu telefonu iki aydır kullanıyorum, pili evet diğer akıllı telefonlara göre uzun sürüyor, internette sık dolaşırsanız 1 gün, az kullanırsanız 2 gün bile idare ediyor. mor renkli kapağı da gayet güzel duruyor telefonda.
Positive;ürün elime hızlı ulaştı paketleme gayet iyiydi sorunsuz bir şekilde kargo tarafından getirildi boyut olarak gayet uygun 1 95 boyunda ve iri bir yapiya sahibim icinde rahat sekilde sigdim fiyatina gore gayet uygun bir urun satici firmaya tesekkur ediyorum
Negative;Romantik komediden uzak bir filmdi.Esprilerin çoğu cinsellik üzerine kuruluydu.Adam Goldberg'in oyunculuğu filmi götürsede sinemada izlenmeye değmeyecek bir film.
Negative;Bu fiyata bu kadar rulo halinde kargolaniyor Buyataga buy k zarar verdict ve birkac ayda coktu Tavsiye etmiyorum
Negative;Ikinci kullanımda vidası cıktı görünüse aldanmayın daha kaliteli bir ürün alın
Neutral;Türlerin Türkçe adı Türkçe kaynaklarda geçtiği durumlarda verilmiştir .
Positive;Kısa sürede elimde oldu. Markasız bir poşette geldi. Problemsiz çalışıyor.
Positive;çok güzel bir animasyon filmiydi
Negative;Sibopları tamamiyle kapatmıyor Aralıklı kalıyor Siyah plastik sibop kapakları daha iyi
Negative;Bıttım diye aldık bıttım menengiç yazıyor ve 5 gündür bir işe yaradığını görmedim
Negative;Uzak durun derim. çakmaklık girişine oturmuyor ve sürekli cızırtı geliyor .
Negative;ebatlar 40-59-27 cm ,çok ince ve adi bir kumaş , yanlarda tutma kulpu yok, yani fotoğrafta gösterilen ürünle ilgisi yok
Positive;hepsiburada ya çok teşekürler 24 saat içinde tlfn geldi telefon çok hızlı
Positive;fiyatına göre alabilinecek en iyi tvlerden diyebilirim.hdr 1000 değil anladığım kadarıyla ve kutudan one connect box çıkmıyor bilginiz olsun.ben memnun kaldım.
Negative;Aşırı pahalı hiç haketmiyor pişman oldum
Negative;resim fiyatına göre kaliteli duruyo ama tırtıklı yüzeyde ne kadar kuvvetli yapışkan olsa da tutmadı hep yere düştü ve her düşüşte deforme oldu..malesef beğenmedik ürünü.
Positive;2011 clio 1.5 dci aracıma kullanıyorum 10 numara yağ.akşam 22 30 da sipariş verip gündüz 11 00 de ürün geldi inanılmaz bir şey itinalı şekilde paketlemişler teşşekkür ediyorum
Positive;Teşekkürler :))) Özellikle pampers 4 un hastasıyız....
Negative;İs yerinde radyo dinlemek için aldım. 2 saatte bir pil mi biter? Bu konuda tavsiye etmiyorum.
Neutral;hayal kurmayı ve doğayı seven çocuklar için
Positive;Başucu kitabım olduğunu söyleyebilirim Pek cok acidan kendimi tanimamı sagladı Evet bir anda olmuyor degisim ama kendimi tanuma yolculugumda bazen dara dustukce acip okuyacagim bir kitap diyebilirim
Negative;BU MODELDE 780 İYON YOK İYON VAR DİYE ALDIM FAKAT SADECE 785 MODELİNDE İYON VAR ÇOK GEREKLİ Mİ ONA DA BİŞEY DİYEMEM SATİN HAİR 7 İONTEC MODELİ DAHA BÜYÜK AĞZI DAHA GENİŞ DAHA GÜÇLÜ HAVA AKIŞI VAR ÜSTELİK İYON ÖZELLİĞİ ARAYANA DA CEVAP VERİR 710 MODELİ DC MOTOR OLDUĞU İÇİN ÖMRÜ KISA 5 SENE GİBİ ÖMRÜ VAR
Positive;sorunsuz gönderi hızlı teslimat ve orjinal ürün için teşekkürler ve tebrikler
Positive;Bir bulaşık deterjanı bu kadar mı mükemmel olur Yağ çözmede 1 numara Üstelik daha az deterjanla daha iyi temizliğe kavuşuyorum Üstelik ellerimi de tahriş etmiyor
Negative;Ürün beklentimin oldukça altında, hani fiyatı uygun tamam ama bedava da almadık dedirtecek cinsten.
Positive;herkes butelefonun tadına bakmasını i̇stiyorum hem fiyatı uygun hemde mükkemmel bir araç. herkese teşekkür ederim hepsiburada.comalışveriş yaptıqınız i̇çin
Positive;İbrahim Tenekeci nin kısa sürede 2 baskısı yapılan son şiir kitabı Tenekeci ne yazsa okurum
Neutral;Kendini feda ederek diğerlerinin kaçmasına yardımcı olur .
Negative;Cin Fizz siparişi verdiğimiz mekanda, maalesef hayal kırıklığına uğradık. Kokteyl, tamamen limon suyu olarak servis edildi ve içinde hiç alkol bulunmuyordu. Garsona durumu belirtmemize rağmen, bize içerisinde 5cl alkol olduğunu iddia etti ve daha sonra ekstra ücret karşılığında shot alabileceğimizi söyledi. Zaten içerisinde olması gereken alkolü koymadıklarını belirtmemiz üzerine bara incelemeye giden kokteyllerimiz, sözde 2 cl daha eklenmiş olarak ama aslında daha da bol limon suyu eklenmiş olarak geri geldi. Mekanın müşteri memnuniyeti ve hizmet anlayışı maalesef çok zayıf. Eleştirilere karşı duyarsız, savunmaya geçen ve çözüm odaklı olmayan bir yaklaşımları var. Mekandaki kokteylleri virgin kokteyl olarak değerlendirebilirsiniz, alkolü ayrı almanız gerekiyor. Fiziksel olarak güzel bir mekan, böyle bir işletme anlayışıyla yazık edilmiş. Kesinlikle tavsiye etmiyorum!
Negative;Vay anasını yaa! Amma abartılmış. 50. dakikadan sonrasını midem kaldırmadı. Kimse benim sevdiğim tarzı sevmek zorunda değil aynı şekilde bende bu filmi. Ne varda abartılmış bu denli anlamadım, klasik vampirli iyi kötü mücadelesi. 10/3 bile fazla
Positive;Mucize bir film Başka ne diyebilirim ki çok zor bir zamanım da yetişmişti İnsanın aydınlğı arayışını sıkmadan gülümseterek izleten bir film Mutlaka izleyin
Negative;Ürün 3 dk lık kullanımdan sonra hortumun ortasından patladı üstü komple yarıldı hortum iç kısmından patladı inanamadık Patlaması normal değil daha ilk kullanımda
Negative;Eskiden çok iyiydi şimdi daka başı Ağ yok diyo internetim ful çekmesine rağmen bu böyle yaziyo yotube acır filim izliyirem amma Ağda yok diyo
Negative;laptop da windows işletim sisteminde bağlantı sıkıntısı var
Positive;Daha önce biraz daha küçüğünü almıştım simdi daha geniş ebatini aldım paketleme iyi ebat iyi yikamacida yıkattım daha önce taş gibi birşey olmadi
Negative;İşçilik berbat ötesi her yer sarkık ipliklerle dolu Bu renkde bir perdeyi kalın simsiyah iple dikmişler hiç mi esetetik düşünceniz yok kesinlikle önermiyorum
Negative;hiçbir işe yaramıyor
Positive;daha öncede kullanmıştım batık tırnak sorununun tek çaresi şiddetle tavsiye ediyorum bu ürünü
Negative;Alırken yorumlarını okumuştum ancak düşündüm ki bu fiyata bir bez dolap ne beklenir ki idare etsin beni 5 ay yetecekti 5 Ay nedir 5 hafta bile olmadı 1 hafta içinde yana doğru yamuldu elbise rafi denen şeylerin her odaya girdiğimde biri yerde oluyor Asla önermem
Positive;Üründe ne anlatildiysa o gerçekten. Parasının karşılığı. Çalışmak isteyen alsın memnun kalır.
Negative;tek kelimeyle berbat....paranıza acıyın arkadaslar..vizyonda güzel filmler de varken sakın bu filme gitmeyin...
Positive;küçük hediye için teşekkürler
Negative;bu 3 ten yukarı yıldız veren arkadaşlar el insaf.. televizyon ile duvar arası mesafe inanılmaz dar ve kullanılamaz zira yan tarafta 1 tane hdmı girişi olmasaydı kulanmam imkansızdı.2 hdmı aktif kullanıyorum ve mecburen tak-çikar! yapicam.diger girişleri söylemedim bile zira tv nizin girişleri arkada ise sakın...
Negative;24 nisanda aldıgım ürün hala kargolanmadı ve sürekli erteliyorlar güvenli bir firma değil
Positive;eray sanat mağazasından aldım yanında kalem ve not defteri hediye etmişler güzel paketleme ve hızlı gönderim ürün de fiyatına göre gayet başarılı tavsiye edilir
Positive;Ürün kalitesi çok iyi fiyatına göre kesinlikle tavsiye ederim, mükemmel performans.
